Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
71b3b1c0-c58d-463e-b652-d8e3449b1c5a	55	41.82	-0.15	10
fbd87beb-1785-4d95-9413-2d5c9ac789c0	989	47.12	10.11	60
e92ecccb-ef44-479d-ae70-94e6883fcadd	55	41.82	19.29	10
f9af2099-ee0a-489d-854d-cf5322875b48	507	48.13	4.48	60
321dd9ef-1f4e-45f9-87d5-3354f5b49a37	55	41.82	8.58	10
223860d1-f224-4077-83d7-d5f78a62dfdd	55	41.82	8.93	10
8062b958-c0a7-4954-9942-ead7c586e2ca	74	47.30	2.43	50
04b4d071-fa18-4ab0-8da2-e81b001aa298	48	39.58	53.44	1
f8ec5a59-05e8-445e-9332-7f64b3225ea2	388	48.20	18.47	34
9f328b4b-e383-45e3-b16d-ce819dac87f3	384	47.66	10.32	60
498997a1-335b-4eb6-af92-1a106b63ef4d	55	41.82	15.35	10
bf8738ea-3011-471f-9d6b-6f83cf2cb1a9	55	41.82	8.53	10
6d3c6cdc-4020-45a3-9513-671d14f6fa62	55	41.82	11.20	10
a76e9fc5-2e44-4179-a59f-de0cd2895d4e	55	41.82	3.78	10
e32688fc-d105-41b2-b33d-366e8b61490f	55	41.82	11.44	10
e32688fc-d105-41b2-b33d-366e8b61490f	55	41.82	10.69	10
6d151d1e-81cb-4fb0-a7e0-5e1f78153686	48	39.58	9.71	1
283dab2e-9620-4f1b-8772-0b7cc80c383b	55	41.82	8.20	10
baba6ca7-1560-49e4-954b-62d42d19e3d2	47	38.30	6.72	1
91887de2-699f-4696-b3c5-1ea45f2e67c0	55	41.82	7.64	10
dc5a94c1-0765-4922-9c1a-139c275dc651	446	44.62	17.49	1
7ef348f6-3320-4856-97d6-4f73d260b2a7	878	45.10	10.30	60
4d8cf189-608b-4c5b-82e1-33ec8c29bfc7	47	38.30	12.32	1
0529fb29-b67c-45b4-a5ac-62fce4d0c72b	450	44.22	14.53	10
6833f0a6-b858-4d1e-8ff4-7346c95fc9d0	55	41.82	10.87	10
03982917-065d-495b-b3ec-a45f7bde4b1c	55	41.82	3.76	10
b68095ec-3c88-44fb-aa87-89d3351011ba	47	38.30	11.77	1
43d8b891-b159-446b-807d-79bfccf3a38d	381	46.72	8.62	33
82a12aba-3439-4c14-af7a-29a12a0c04a1	55	41.82	7.02	10
ce83c4e6-a48e-403d-9b5d-fec2d5a65100	55	41.82	8.82	10
507aaaa5-5056-4bb6-9f68-e5d2a699ce09	54	42.59	14.72	10
8c59ba9d-bee8-44f3-bcf0-71d831525040	55	41.82	54.84	10
e6eb1ef3-2f17-4e1d-95c8-4a18e21e1ec3	55	41.82	4.31	10
423d27ad-a550-48d1-b2ab-dc20c598fd88	55	41.82	11.75	10
f3400f25-f25a-4f09-88e3-113796e28923	55	41.82	14.20	10
631ceed3-0c88-4235-a6c4-968fd376672f	55	41.82	16.47	10
4c385ce6-87d2-4145-879b-f28009fc11f2	1143	45.41	10.13	60
adce0244-be8b-4b05-99cc-70a30b72f638	55	41.82	8.47	10
4f81ab45-b2bb-4240-87a0-dc188978ea3c	947	45.93	12.21	60
375822cb-112b-4e2a-aff1-2de11594f622	55	41.82	12.38	10
d3a29b30-54ef-4d81-b1f8-200b1dcc23dd	1031	46.94	11.00	60
82f30a3b-fc79-4bdf-9614-bf3ce5bf6826	162	40.74	9.72	1
e9621ea5-8a67-42d4-9e65-5106236712b2	55	41.82	13.05	10
f2cf46fc-6fd6-4bbe-9fed-beac3a952cf1	55	41.82	5.29	10
9000ca06-df62-47e1-86f7-929488b03f70	55	41.82	12.82	10
16db6271-c864-428b-b324-db50fa7f61a6	86	48.84	11.78	41
cc04369c-f10e-4f58-a336-987128e33b2b	55	41.82	11.40	10
bb191bbc-b424-4919-b014-4e3d3250c7dc	55	41.82	12.49	10
bb191bbc-b424-4919-b014-4e3d3250c7dc	55	41.82	12.75	10
7633561a-af47-431a-b19b-59b958a97d49	157	45.86	13.15	60
8da02129-8426-40ff-87d8-e68683196bf4	53	43.40	9.83	1
3b0f350c-b628-48e2-a83e-7bd84d9fa7f4	55	41.82	11.84	10
62b20e31-9aec-4ffc-8789-fe652ccd774e	1073	45.29	16.22	60
ed4a12c6-87ad-45d4-ba2c-6a29bd946d60	47	38.30	1.21	1
e71d6a63-d6f4-4dc1-9c1a-f54b70e2d6c8	56	42.86	12.39	1
fccd6a8e-4676-401a-aa6c-699162824971	48	39.58	14.56	1
8bed7d08-b822-4c20-81b2-5183648a934a	47	38.30	7.72	1
ca16319c-19d0-408d-9975-01b8671f8fc0	55	41.82	6.76	10
580c0012-e453-4bbd-ae2c-236628f2dcb0	55	40.00	6.04	1
f18d9f51-9cd2-4136-8911-cf4d5f85640c	55	41.82	6.45	10
abd17891-872a-493e-b831-f65bec1538a0	56	44.64	5.20	1
538e9afe-fd3a-4761-bb09-1576bbfc01f5	55	41.82	15.02	10
811fa7eb-32af-41e7-a6d9-7f67f17fccd0	55	41.82	6.84	10
ac74b44c-45e5-4da1-a8af-fb292b055daf	55	41.82	10.13	10
0c880c79-8e1d-4d25-a377-f9effc7dad2e	55	41.82	9.31	10
3181ec39-25dc-4996-a20e-6a4541a1dd35	55	41.82	8.87	10
1ae55487-3ae7-42f3-b609-6fb9868279cb	55	41.82	3.05	10
3fdcdbc1-d332-4649-a8ea-f7f70313c5d3	55	41.82	7.53	10
3a721ef1-ca83-4d3d-b5c0-a668ab78bb0c	387	43.67	12.22	1
49d82bd6-e273-4302-9976-01d53261ab02	47	38.30	20.38	1
53b52045-8e5b-4a57-b5f6-82388602d4f5	55	41.82	12.33	10
2215c420-78ae-4211-b6a3-e200210827c2	55	41.82	27.36	10
7c7a0d2e-5c22-47a7-9d36-1ad764e02507	711	44.16	12.91	60
6e074269-c67e-474b-9eec-17244d619bb6	55	41.82	13.73	10
11023904-5039-4ebe-a6d3-d0261f6eae6c	55	41.82	13.85	10
11023904-5039-4ebe-a6d3-d0261f6eae6c	55	41.82	10.65	10
00e48123-f006-4df0-882f-02bccd9cb93f	665	46.02	10.33	60
aa765d92-125a-4bfd-ab1b-b89103222efb	47	38.30	7.47	1
6e5465d2-36ec-4086-8f0b-6a21357cd10c	1050	45.62	12.60	60
a95e9135-9d60-4ce8-a33c-73b721bde953	55	41.82	12.27	10
04deb979-0413-4efc-85d2-cafdcfd4a9d3	276	41.67	10.06	1
7751c12c-4652-41ae-9bbf-0f6f31989881	55	41.82	14.91	10
fa133b15-ec8d-4950-8d82-6b39980ff399	55	41.82	11.47	10
222e5da2-f172-445a-8ef1-2c2652f6a556	55	41.82	5.07	10
baad9de1-3d18-4eac-9771-f2c059b2b03a	55	41.82	5.35	10
3cad3a66-6eda-4e2f-9c86-83a76961b4cd	55	41.82	12.65	10
7997f92c-ebcc-4311-ab16-99eae30062b4	47	38.30	12.55	1
48151c1c-b429-46f1-9bc4-b7bac5f3e796	1008	43.95	13.20	60
f21ee5f8-981c-4275-8a5c-1d141faa2e6c	1013	46.30	12.50	60
07432073-b559-47a2-ae92-03477cc9673a	55	41.82	12.35	10
fbd87beb-1785-4d95-9413-2d5c9ac789c0	149	47.65	13.89	60
f9af2099-ee0a-489d-854d-cf5322875b48	105	46.67	7.66	34
9ec7907b-ab1f-49fe-b0e2-6d9000dc2e51	55	41.82	10.87	10
45e620c7-0a09-4eba-a9dd-d92c52ff0765	501	43.91	8.81	60
b685e991-b0ce-4de0-95cc-75eed4d3b698	562	44.66	11.29	60
9e206a17-19bf-4887-bc89-d08a830ecde7	55	41.82	-0.11	10
29ab931b-f59c-4725-911f-b3d9da65dbbd	181	46.41	13.16	10
64c55b9b-a122-4ef8-ad32-4ec36867edf6	55	41.82	20.84	10
98fd575b-b837-499a-acc8-d491277f5b18	312	48.40	12.24	60
