Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
ee0a545a-8df7-4b39-b58a-5320ffc917e1	477	50.10	12.28	6
c8f89022-9b1a-48bf-be65-dfd5a5cc6b80	310	48.39	8.11	8
b7c83a43-44f3-4728-896e-338e534b1abb	109	49.54	12.33	60
a6b432a9-9172-45d2-b350-f9dd50cc878b	458	46.07	3.93	60
0699d805-c071-41ab-a705-3b8e6cba6ce8	768	45.57	7.36	60
a9fbe00b-4975-474b-b5a0-c030894eb498	385	47.27	10.89	23
28976933-67b0-4190-aec4-ce257d79c398	382	47.38	10.68	1
0cf97fd7-d388-4d13-8d5d-eaf0e2a3db0c	673	47.40	11.59	60
2151daf8-4851-454a-abe6-187585452f2c	385	47.01	11.68	23
96de305b-684c-40aa-ab8d-9c40fc3dd54d	387	46.77	9.57	23
05383a70-04ad-4dae-92e0-bb9d180b4f92	897	42.92	18.63	3
2561648f-36b2-4cf1-b49d-8a67202dfa36	1078	44.16	12.02	60
fd90f610-37b3-4873-a368-c473e412502a	329	50.15	10.86	21
710a0471-be72-44a3-80a4-660aeb1444b2	461	46.20	7.26	60
e9a031b9-2eb0-4013-9806-2311f581357a	777	44.66	8.32	60
217ce47c-a9a2-4ddd-997b-f8ab57b599b1	235	46.38	10.63	22
82b6b564-38a7-4951-a8b8-7efd582abcea	730	41.10	11.96	60
5ddb6eb7-7528-45ba-86bb-7183cd9a6468	1061	50.99	12.87	60
494d9e10-8339-4400-bddc-d9e3d5a12801	1140	51.23	12.18	60
8c471ed0-2e78-472d-a1ba-331e6c453a8d	1053	51.19	11.56	60
ef877183-d0cf-48ed-a128-86ba67a2a85c	1155	50.65	12.61	60
5465adbd-f971-4ef6-a9a3-24babfdc9c1c	1078	50.37	9.87	60
3a7f850b-3152-4fc1-9897-1e7a63dd8ed3	1077	50.88	9.65	60
230a520d-0d0f-400a-b6c7-f0652a6c0b1f	603	47.43	16.90	60
ec887f4a-7d04-4b0f-88a5-b3effbfb6475	1042	50.67	10.52	60
b737a572-d9cd-4119-9b3d-e39715086fd9	1006	51.09	10.44	60
dff032e4-5bab-4392-80bb-d5a4920f47ef	1010	51.29	11.61	60
d87cdb08-d1e1-4fb7-8fed-40b0abc1a72c	891	52.75	15.46	60
5ea5ad3d-30eb-4efa-8d52-f9e71f047685	601	52.25	14.95	60
40d8ab56-a23b-4067-a149-5abf432dceac	800	52.25	7.64	60
3ced2ad7-6c6d-4006-a7ff-724a99eb6d33	845	52.07	12.34	60
ea86e3e3-2e04-4b72-8d0b-262e175f2e7f	944	52.44	11.01	60
1ab4f847-4a38-43c4-9dbe-e4cc9d58c2ba	940	52.34	10.85	60
4026ba8b-87e8-4133-acc4-a818132e21e5	943	52.28	12.05	60
5b8c37c0-bf15-4c12-bbed-0231f18c21e4	941	52.39	10.48	60
7937ae8f-640c-4e47-b763-1794bca9d4fe	938	52.99	12.33	60
3f7ce9f0-5dd5-4c21-b070-6a6293fbeb1d	941	52.60	12.44	60
806b11dc-b213-449a-89ce-11657e48bcc2	943	52.49	11.55	60
94b79e70-5c3f-472f-a0a2-9112d5ba0de2	938	52.24	15.65	60
ce885f3e-4e3b-48ec-aa4b-8c5ad2c91b7b	735	54.01	12.23	60
