Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
7c604bd0-1a55-4921-822f-5c9f84639a08	854	46.49	13.43	60
224f04ab-9ad6-4d12-804e-b936e3ca9bf5	49	40.82	7.10	6
1f2e98f0-c3c4-4823-9ad8-d94f61cd1fb1	357	50.14	11.66	60
2e900d20-0063-4b73-a4f0-025c38f334c9	579	45.25	9.89	60
9814b35f-e381-4221-abec-6d9c5945a492	593	46.71	8.33	60
eafe392c-a3d3-4897-bb1c-aaf502f4abf2	900	47.22	9.25	60
0be59053-5e27-44db-8639-6a2efd8d83c3	383	48.04	9.15	60
779ebca8-01ce-4c3a-96f8-2c16c7ab6779	351	46.44	11.54	60
2e4d59e3-f271-4d63-97dc-aefd4b764918	836	47.97	12.05	60
1988e092-c94b-4ec4-8816-c5215ed6a98b	462	56.49	12.95	54
a0afc2ed-9bfc-45bb-91a6-641072d1c556	973	45.22	11.47	60
6b85157b-fe1e-467f-b69b-f6e3b10560cf	1022	45.69	10.67	60
5a090fed-ae2d-4307-93ad-5065e4c1a96b	544	43.75	19.63	1
d87ae84b-4c29-44db-965e-cd11e82f0024	380	50.79	16.26	25
8ec3d0ec-1d31-4edd-bd44-a66df4f8fa0b	629	46.10	11.02	60
d359c4a7-4d78-40be-ac6a-523b665c4d2a	577	45.93	7.16	60
cda09ad0-8788-42b0-9b02-b262bc8a2eaa	577	46.62	11.68	60
8e0c400e-6fd7-49de-ba7a-d3904abc4a8e	1124	43.33	11.54	60
6add83a2-53ea-4f10-bec0-0a96ab0436bd	1124	43.77	10.40	60
ee5dd403-3b25-405a-a730-a06d2325fabf	1118	43.20	11.78	60
11665074-142b-4548-8e03-fdb419a4ad1c	309	47.25	9.49	36
72808bd4-32df-40bd-8720-329ad6f384ed	541	44.73	19.71	60
52ce3fbd-ec99-4212-9997-6b9cd0768b39	537	46.00	16.00	60
71482d51-652e-432f-ad73-085f29c83949	275	46.55	8.94	32
257cb47c-e6b0-46f7-a050-6815ec6deed7	612	48.69	9.74	60
d73fa337-1aa1-4ff8-b818-fc8d1ec76c23	541	46.21	12.32	60
bbb1c482-3a0a-442e-af02-c29f0a12fb4f	187	49.20	7.09	53
7b2a6400-e93a-4edf-b7d5-0aabaa1363e6	542	46.31	11.19	60
b83c750a-7e9e-40bf-8352-f4fe8c624bd7	766	44.78	22.07	60
90cb9a4f-da5b-4489-ae29-768442ae94d7	542	46.13	4.44	60
