Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
78763ae9-05cf-4cb8-95f5-aadbfbfcd585	743	49.93	8.48	60
c1d6b19d-9acb-49b7-95ae-da8e5026d17e	49	40.82	4.35	6
a831c579-4ef5-4378-925f-c43459edff47	929	49.09	14.53	60
a831c579-4ef5-4378-925f-c43459edff47	113	46.90	8.96	60
f68b7b0f-27ed-4ccd-8b77-a32304863fde	995	40.60	8.39	60
857a027c-9d38-4613-b5b6-b36abf85b212	785	47.64	9.87	60
8c4f9c20-923e-44e0-9733-1ecfd5573759	277	50.54	14.16	60
6aaecce9-0027-40e8-800c-a6c6804f1f9f	113	48.67	11.15	60
9ef36c75-22c1-4ea4-ab4d-bc4122184d1b	103	48.54	11.10	18
6c03630b-2e12-4ff0-b464-49cde3492725	49	40.82	4.88	6
16fac1b1-8489-4122-aa0b-f1a2f876f5c9	49	40.82	18.65	6
a54fe7b2-6874-4c0e-8331-36fdfeb11759	110	46.36	9.58	60
74edb20b-e133-40ed-8bf3-ecd4e511b9d6	133	45.86	7.76	60
a7eaa2a2-f065-4099-8d6a-d929c235faf3	104	46.15	19.51	4
6c4176da-7912-4fac-bc33-66c0dfc4e187	236	49.58	10.26	60
8314b614-1536-4ebf-ab59-377d0ff256aa	178	47.75	19.31	60
eb51bc44-d06d-4356-ac0d-80d6bde6b5b2	49	40.82	11.16	6
ba7011dc-0a23-404c-b999-d5fd3c15f614	49	40.82	5.67	6
d6148fc3-bf5b-4e4c-abe2-d8005d5e9e1e	938	39.23	11.31	6
cc6d7e4b-2408-4001-a4de-508439a921e8	249	49.40	10.04	60
7a16051e-babf-41eb-9abd-b01878c22f19	49	40.82	5.14	6
1876c274-3151-4915-98fd-4fe887221223	113	47.79	5.74	60
ea0935f5-5ed9-4abb-afd9-499356c7f241	49	40.82	5.80	6
11ac6505-002f-41a9-986a-f61a53807499	75	48.00	8.41	43
c1881733-cc28-4fbc-b687-180a8e9e05c9	243	49.38	14.04	60
41702ab5-5cc4-485f-a12d-a0ff6a69611a	241	48.96	4.39	60
