seq_score,occurence
43.04,1.0
44.06,1.0
45.44,1.0
45.86,1.0
46.07,1.0
46.71,1.0
46.94,1.0
47.89,1.0
48.08,1.0
48.09,1.0
48.47,1.0
48.62,1.0
48.67,1.0
48.69,1.0
48.76,1.0
48.94,1.0
48.95,1.0
48.97,1.0
49.01,1.0
49.3,1.0
49.45,1.0
49.5,1.0
49.67,1.0
49.75,1.0
49.86,2.0
49.97,1.0
50.22,1.0
50.43,1.0
50.44,1.0
50.51,1.0
50.61,1.0
50.86,1.0
50.92,1.0
51.03,1.0
51.14,1.0
51.16,2.0
51.24,1.0
51.26,1.0
51.42,1.0
51.62,1.0
51.67,1.0
51.69,1.0
51.77,1.0
51.96,1.0
52.07,1.0
52.14,1.0
52.16,1.0
52.25,1.0
52.28,1.0
52.33,1.0
52.51,1.0
52.55,1.0
52.64,1.0
52.8,1.0
52.84,1.0
52.94,1.0
52.95,1.0
52.96,1.0
52.98,1.0
53.02,1.0
53.03,1.0
53.11,1.0
53.15,1.0
53.18,1.0
53.21,1.0
53.23,1.0
53.26,1.0
53.3,1.0
53.34,1.0
53.35,1.0
53.38,1.0
53.43,1.0
53.45,1.0
53.46,1.0
53.58,1.0
53.59,1.0
53.63,1.0
53.74,1.0
53.93,1.0
54.0,1.0
54.06,1.0
54.1,1.0
54.2,1.0
54.23,1.0
54.28,2.0
54.36,1.0
54.38,1.0
54.4,1.0
54.44,1.0
54.47,1.0
54.52,1.0
54.53,1.0
54.59,1.0
54.64,1.0
54.65,1.0
54.7,2.0
54.74,1.0
54.76,1.0
54.78,1.0
54.96,1.0
55.23,2.0
55.24,1.0
55.36,1.0
55.39,1.0
55.47,2.0
55.49,1.0
55.5,1.0
55.51,2.0
55.52,2.0
55.54,1.0
55.59,1.0
55.61,1.0
55.69,1.0
55.88,1.0
55.92,1.0
55.99,1.0
56.02,1.0
56.09,1.0
56.17,1.0
56.21,1.0
56.24,1.0
56.28,1.0
56.35,1.0
56.37,1.0
56.38,1.0
56.43,1.0
56.45,1.0
56.49,2.0
56.51,1.0
56.54,1.0
56.6,1.0
56.66,1.0
56.67,2.0
56.68,1.0
56.81,1.0
56.84,1.0
56.87,1.0
56.89,1.0
56.94,1.0
57.01,1.0
57.1,1.0
57.15,1.0
57.27,1.0
57.34,1.0
57.37,1.0
57.48,1.0
57.51,1.0
57.52,1.0
57.64,1.0
57.69,1.0
57.7,1.0
57.73,1.0
57.79,1.0
57.81,1.0
57.87,1.0
57.89,1.0
57.9,1.0
57.91,2.0
57.92,3.0
57.96,2.0
57.98,1.0
58.02,1.0
58.03,1.0
58.05,2.0
58.1,1.0
58.11,1.0
58.13,1.0
58.15,1.0
58.18,1.0
58.2,1.0
58.3,1.0
58.36,1.0
58.46,1.0
58.47,1.0
58.49,1.0
58.5,1.0
58.51,1.0
58.56,1.0
58.58,1.0
58.59,1.0
58.61,1.0
58.63,1.0
58.66,2.0
58.7,1.0
58.73,1.0
58.75,2.0
58.76,1.0
58.78,1.0
58.83,1.0
58.86,2.0
58.87,1.0
58.89,1.0
58.91,1.0
58.92,1.0
58.95,1.0
58.98,1.0
59.0,1.0
59.02,1.0
59.04,1.0
59.05,1.0
59.07,2.0
59.09,1.0
59.11,1.0
59.14,2.0
59.16,1.0
59.23,1.0
59.25,1.0
59.26,1.0
59.27,1.0
59.3,1.0
59.32,1.0
59.33,1.0
59.36,1.0
59.38,1.0
59.39,1.0
59.4,2.0
59.41,1.0
59.44,2.0
59.48,1.0
59.49,2.0
59.5,1.0
59.54,1.0
59.55,1.0
59.56,1.0
59.59,3.0
59.62,1.0
59.64,1.0
59.66,1.0
59.68,2.0
59.69,1.0
59.76,2.0
59.8,1.0
59.81,1.0
59.84,1.0
59.85,3.0
59.87,1.0
59.89,1.0
59.91,2.0
59.93,1.0
59.95,2.0
59.96,1.0
59.98,1.0
60.01,1.0
60.04,1.0
60.05,1.0
60.08,2.0
60.09,1.0
60.1,1.0
60.11,2.0
60.12,3.0
60.13,2.0
60.15,1.0
60.16,1.0
60.2,2.0
60.21,2.0
60.22,1.0
60.23,1.0
60.24,1.0
60.25,1.0
60.29,2.0
60.3,1.0
60.32,1.0
60.33,1.0
60.34,1.0
60.35,2.0
60.36,1.0
60.37,1.0
60.4,2.0
60.42,2.0
60.44,1.0
60.45,1.0
60.48,1.0
60.5,2.0
60.51,1.0
60.52,4.0
60.53,1.0
60.54,2.0
60.55,2.0
60.56,2.0
60.57,1.0
60.59,1.0
60.6,1.0
60.61,3.0
60.62,1.0
60.63,2.0
60.64,1.0
60.65,1.0
60.66,1.0
60.67,2.0
60.72,1.0
60.77,1.0
60.78,3.0
60.79,1.0
60.8,1.0
60.81,1.0
60.85,2.0
60.86,1.0
60.87,1.0
60.88,1.0
60.92,1.0
60.93,1.0
60.94,2.0
60.96,1.0
60.97,3.0
60.98,1.0
60.99,1.0
61.0,2.0
61.02,4.0
61.05,1.0
61.06,1.0
61.07,1.0
61.08,2.0
61.09,1.0
61.1,1.0
61.12,2.0
61.13,4.0
61.14,2.0
61.15,1.0
61.16,1.0
61.17,2.0
61.18,1.0
61.2,2.0
61.21,2.0
61.22,1.0
61.24,2.0
61.26,2.0
61.27,1.0
61.28,2.0
61.29,1.0
61.33,1.0
61.34,1.0
61.36,1.0
61.37,1.0
61.38,2.0
61.4,2.0
61.43,1.0
61.44,1.0
61.45,1.0
61.46,1.0
61.48,2.0
61.49,1.0
61.51,3.0
61.52,1.0
61.53,2.0
61.55,1.0
61.56,1.0
61.57,1.0
61.58,2.0
61.59,1.0
61.6,4.0
61.61,2.0
61.62,1.0
61.63,1.0
61.64,1.0
61.65,1.0
61.66,2.0
61.67,1.0
61.68,1.0
61.69,2.0
61.71,4.0
61.72,1.0
61.74,3.0
61.76,1.0
61.77,2.0
61.78,1.0
61.81,2.0
61.82,2.0
61.83,1.0
61.84,1.0
61.88,1.0
61.91,3.0
61.92,1.0
61.94,1.0
61.96,1.0
61.97,2.0
61.99,3.0
62.0,5.0
62.01,1.0
62.03,1.0
62.04,3.0
62.05,2.0
62.06,1.0
62.07,2.0
62.1,3.0
62.12,3.0
62.13,1.0
62.16,5.0
62.18,1.0
62.19,1.0
62.23,2.0
62.24,1.0
62.25,1.0
62.26,2.0
62.29,2.0
62.3,1.0
62.32,4.0
62.33,2.0
62.34,2.0
62.35,1.0
62.36,2.0
62.37,2.0
62.38,1.0
62.39,2.0
62.4,3.0
62.41,1.0
62.42,1.0
62.43,1.0
62.44,1.0
62.45,3.0
62.47,2.0
62.49,1.0
62.51,1.0
62.52,1.0
62.53,5.0
62.55,2.0
62.56,1.0
62.57,2.0
62.58,1.0
62.6,3.0
62.61,1.0
62.62,1.0
62.64,1.0
62.65,3.0
62.66,2.0
62.67,3.0
62.68,3.0
62.69,1.0
62.7,1.0
62.71,1.0
62.72,3.0
62.74,1.0
62.75,2.0
62.76,1.0
62.77,2.0
62.78,3.0
62.79,2.0
62.8,4.0
62.81,5.0
62.82,2.0
62.83,3.0
62.84,1.0
62.85,2.0
62.86,1.0
62.87,1.0
62.88,1.0
62.89,3.0
62.9,2.0
62.91,1.0
62.92,4.0
62.93,3.0
62.94,2.0
62.95,3.0
62.96,2.0
62.97,1.0
62.98,2.0
62.99,6.0
63.0,4.0
63.01,5.0
63.02,3.0
63.03,2.0
63.04,1.0
63.05,2.0
63.06,1.0
63.07,1.0
63.08,1.0
63.09,2.0
63.1,2.0
63.11,1.0
63.12,2.0
63.13,2.0
63.14,2.0
63.15,3.0
63.16,4.0
63.17,1.0
63.19,2.0
63.2,2.0
63.21,2.0
63.22,1.0
63.25,5.0
63.26,2.0
63.27,3.0
63.28,1.0
63.29,3.0
63.3,1.0
63.31,1.0
63.33,2.0
63.35,5.0
63.36,1.0
63.37,3.0
63.38,1.0
63.39,2.0
63.41,1.0
63.42,2.0
63.43,1.0
63.44,1.0
63.45,2.0
63.46,2.0
63.47,3.0
63.48,3.0
63.49,4.0
63.5,1.0
63.51,2.0
63.53,1.0
63.54,2.0
63.55,3.0
63.56,3.0
63.57,3.0
63.58,3.0
63.59,1.0
63.61,3.0
63.62,1.0
63.64,1.0
63.65,7.0
63.66,2.0
63.67,1.0
63.68,5.0
63.69,3.0
63.7,1.0
63.71,3.0
63.72,2.0
63.73,2.0
63.74,1.0
63.75,3.0
63.76,1.0
63.77,1.0
63.78,3.0
63.79,2.0
63.8,1.0
63.81,2.0
63.82,1.0
63.83,5.0
63.84,5.0
63.86,3.0
63.87,3.0
63.88,2.0
63.89,2.0
63.9,2.0
63.91,1.0
63.92,2.0
63.93,3.0
63.94,2.0
63.95,1.0
63.96,2.0
63.97,1.0
63.98,1.0
63.99,2.0
