Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
e814db59-ca2c-47ea-bcc9-a2b68fdb8e4f	1016	44.49	8.61	60
232b4926-3fe7-4ea0-9d7e-ab41ef4e3586	883	44.17	11.20	60
1543006b-81e1-49c1-bb81-20f26b37630a	735	48.71	6.19	60
e99e1f68-a673-4f18-9086-8032efbbd1ff	626	47.60	10.46	60
73384744-4d70-484f-9637-ba5974fc5cbc	423	45.86	11.12	60
24c6c9a2-c2b4-4fd4-a41b-caebf157d386	771	45.40	8.66	60
39da16e6-c648-4293-99a3-f73465f390bb	501	48.70	17.44	21
c1a4d105-8aa9-496f-b581-b9a04d2bd5d9	968	42.87	7.94	60
d89cd836-445f-4182-ae97-9005da1fed6c	671	47.09	13.13	60
47f5619c-91cc-462c-8e3e-c9cfa0592dff	1126	43.87	12.03	60
2f9d0301-6312-4853-89d6-e187140a6409	542	46.86	10.77	60
b91d923b-c38a-49e6-9b4c-ed395a21adda	819	44.93	11.45	60
d37bbbb9-b988-461e-95ed-046f08afa788	763	47.71	13.47	60
438abe87-2299-4a2f-b634-c060b251bb67	1123	43.54	11.31	60
2b76aa49-91ec-44a9-9be0-db5fe6707101	1013	50.54	8.60	60
3c0ba0f5-7a1d-4975-b5e4-23fe5e3b488d	930	42.90	9.58	60
c276915f-97d4-4b4f-a9dc-ee586db4f9b9	567	46.91	15.49	60
a26d82f3-e9da-490f-8fef-2bb1f8e62d51	489	46.22	7.71	60
4915fd8c-4454-4a5c-a41a-18bfcfae47f0	464	46.34	12.02	60
eedad999-70f1-4915-96b0-8de018d20fb1	321	48.60	17.68	37
161b4433-2826-445f-b358-6700a942eb2c	944	52.97	8.60	60
b93a0819-66ea-4800-8a1b-35af0e7e560c	329	49.24	9.63	60
1b48546b-6066-41f6-ab57-14c4b8efbc56	638	43.10	12.96	60
c70aff58-0d62-4b95-8b41-692370f2c66b	982	42.16	15.47	60
4805093b-5e4e-41c1-bede-d03b509e626f	329	48.63	6.45	52
90b4778a-0f86-4910-aa33-0119becb0375	583	45.97	17.60	60
74b75ee4-1f55-419b-bdfb-fc4bd4767f1e	665	47.07	7.77	60
416dea03-22bf-41c9-8f17-16d396a884bf	368	47.55	9.58	60
1d1bf43a-0af7-466f-add9-e6dad0391e69	335	46.57	10.84	60
39aba2b4-b49a-4b33-88ec-9dc4dc528953	530	53.58	10.82	20
e514e1df-8c26-4450-ae1d-300e22e88fa6	353	49.86	13.73	60
ec1ee510-8dec-4442-9e16-6f60b9006846	715	45.59	7.30	60
81417a46-ad47-4e80-8394-fff168ab2b5d	256	49.61	10.74	60
9b3bc3c1-054f-4455-bfdc-f385bf902a7f	981	50.66	12.62	60
c01ca122-2c46-403d-9313-a8e4b00bc13b	1101	50.95	14.42	60
f936f9dd-43d5-4401-847b-3c3dbbc61bc9	1085	50.32	12.54	60
e834da20-4b50-4869-a6ea-403f7edac1dd	923	51.57	16.01	60
496ccafd-a5b9-4cae-9842-f3675215a584	1076	51.67	15.44	60
74161a4a-a145-454a-851c-f3d30c1e57a3	976	51.13	12.50	60
5a94ba47-ec93-4f6f-8252-8f2afa24b961	979	51.48	11.58	60
c229220a-b3c3-4ba0-9487-9f281984237c	969	51.70	11.22	60
68fb89a3-ac6a-4224-bf82-3ed0c6176ebd	952	52.31	12.34	60
796e2b22-5533-4ff5-a7c3-d62c6c293604	938	51.81	9.03	60
5faf324b-aab9-441b-82de-87091447d61c	978	51.64	12.33	60
bc76d3bc-558d-4e1c-9495-d025d594ddc9	939	52.40	11.99	60
36984379-4233-4f80-a70c-337855032210	937	52.29	9.01	60
e77ded80-237a-41e3-8186-422c44cbf13e	942	52.34	13.09	60
0ee60a28-b9cc-4842-92f0-59868713db4d	942	52.34	9.92	60
1c7e6ab2-33ae-4f53-a173-c5f7f41e203e	940	52.02	12.52	60
83450398-a830-47ae-95c3-5eac13c7f2e6	934	52.57	13.39	60
ff31d458-b3d6-424e-8241-368b578cffe2	938	52.35	5.20	60
f1a178d8-055e-48dd-9903-416d5b90aa4e	941	52.18	10.96	60
45ad3956-71cf-4d2b-933b-c657b64da50c	940	52.34	11.61	60
65c5ed40-f134-4fa0-a4e1-376b63206392	937	52.72	11.80	60
63cab073-ebce-41e6-b273-871e9cf1c059	976	51.64	12.34	60
ac4cc21c-8769-4835-996c-7a1516f7ff1b	936	52.88	16.55	60
68b01c61-4b32-49f4-be9f-61d7caefabc2	939	52.61	8.77	60
b77bb8c9-ae6f-48d9-a1b1-da168e0234ff	942	52.12	12.00	60
7938be54-c308-4158-ac29-9a07c28b8a3e	935	52.62	15.11	60
31b0dc85-8df6-4b75-89c8-173bd776a317	930	52.69	11.95	60
4086b60d-a79e-47ca-a37b-6a1bb7c93b3b	929	52.42	10.23	60
1a86e1fc-ef50-42bf-9da6-748bd8de97a4	924	52.38	12.16	60
cfacc589-3abc-4782-b6aa-36a8ee3791c4	916	52.84	13.34	60
1c97c4f6-c6de-4092-bfc5-6ff50390832d	910	52.42	15.06	60
84a57669-c365-42ca-b3e6-c52c302f6aad	891	53.65	12.24	60
5dd3e36c-3ced-4dfc-ac4e-bd7b186ec56a	856	54.09	12.58	60
5b9df380-e844-4852-ad94-a6283fdc0e41	494	54.05	11.43	60
31d7455c-36fd-460f-99cc-077afffbbe7a	799	54.19	9.92	60
1fee5344-9d29-4ca6-87f7-b90e5fe0cdf4	789	54.37	12.57	60
dd730a34-01e1-4159-95bd-316456368c6c	795	54.84	10.61	60
ef4ae6c8-bcfd-4799-8867-91e28bfc99ba	623	57.30	15.30	60
3ec28f8d-2e01-46a8-bfe7-2961b31f5c1b	652	55.52	16.03	60
e58afc5d-5612-49fc-a164-fc415ec36d97	609	55.50	5.26	60
fe6608f1-a417-4498-bc1f-4c9714acb302	584	55.82	19.66	60
75683ab4-087f-40d1-b89d-3153ed1e409f	590	56.61	11.55	60
996322fd-fd9f-4f56-a124-407cd23439c3	595	55.13	12.08	60
02a8f623-9ff8-4929-a396-c5564490d23d	585	54.19	20.84	60
26c51dff-0771-415b-887d-3217c9f15e30	582	55.15	14.22	60
beabaeb4-5c45-4ddd-a7f6-59947eadcb64	602	55.65	10.40	60
077a5c3f-1001-44f5-b385-fcd0dab740e2	556	55.58	12.55	60
a3e0b911-cfa0-41aa-975a-3c7204ca0dd2	506	54.35	10.68	60
f25cfb25-06b1-42b7-ad48-66ab0b852a7e	597	54.44	22.25	60
1f1d6506-1e6f-43fc-a47a-74d2760726b6	457	56.67	19.80	60
e51a68f2-a30c-4358-acf5-b40a2a8ca193	255	61.96	13.30	33
c73a01c4-0f0c-47f0-a12f-f2c8d5e89276	451	56.32	10.12	60
e34d518a-3461-4dfc-a9ea-0cb6ff7a3a0c	557	55.12	13.28	24
7c9a9a1e-4b0a-4d95-9dec-bd0887b26804	408	54.66	16.66	60
9f011a2f-dd1f-4c0a-96e2-0da114b2b3e2	351	54.13	17.14	60
fe0bc8d0-6bef-4099-b839-4f45928c5809	363	55.10	20.13	60
68db5206-1d57-48b1-b2ff-356b03f67310	348	52.87	11.45	60
3dcd6ca8-89a5-4cd9-b35a-72ec36503445	179	58.66	12.61	15
f7a8ff7a-e896-4d7c-bf7d-2bd616900a88	315	51.75	11.19	60
4493d6b1-eae4-45eb-b5a2-e438b8ea1c9a	295	50.17	11.04	60
912be718-085e-40fe-b06d-f85fc69eae2d	277	49.10	6.75	60
ce5f9bdc-d148-474e-9a47-42d4dc587058	271	48.71	9.48	60
f7791fd5-dc5d-4716-baa1-d5a22b40975e	277	49.10	7.98	60
a25898a3-1c5c-4332-8c4e-abf12271c3f6	277	49.10	9.57	60
2de4d0dd-5ee4-4b6e-b236-44ae0e867519	277	48.74	6.97	60
a7d36035-b6a8-4423-8944-47a1f9330c4a	277	49.46	9.03	60
42215977-9e4c-4ae1-b0f6-4782717a3c44	273	48.35	8.30	60
259d733d-73c3-4721-b7b9-d7165dd5ce8b	277	48.38	9.97	60
64024da4-c2d5-493f-a0ad-ea674edc6187	277	49.46	17.41	60
78c36490-eca4-408b-8b4c-6bd46764fbf6	277	49.82	15.09	49
48b0bdd1-ed8f-4a37-9161-3e47334c0bf1	277	49.10	8.87	60
5fc29fa3-c26a-4ff6-9583-9b690ed65ddd	277	49.82	8.79	60
a4c15e63-1135-4a70-9311-568d102e2bdf	186	52.15	7.76	13
21214f4f-9bd4-46de-aa9c-f43774cb4dc4	276	48.91	12.44	60
dbe9bf09-afad-4a00-b7c1-62ace4fabc4c	283	48.76	8.72	60
495d7826-2e79-4f3f-be4c-31623d3f01c6	323	49.85	16.30	60
f01d9bb9-3ca1-408d-b349-811ebd938152	237	47.68	10.97	60
39ef10be-ed82-48d4-8939-c5b067e4aa0c	234	49.15	50.92	60
0287c20f-f265-40e1-9e1b-49049a41f694	188	49.47	10.24	60
b8f33d9a-720a-4ff2-9293-1dd2837209ce	642	49.07	8.97	58
c3fa2101-1193-46dd-968a-9ad260d72d7e	463	41.90	13.34	60
034a2bbc-cb5a-44cb-b184-9881b662f75c	828	48.55	8.94	60
7caa1924-53ed-47e9-ae95-3177cea3b1d2	669	44.99	14.89	54
65f54ad4-b2fc-44bf-82d8-4adb767c8264	921	46.47	10.46	59
fb95aa10-d4c5-40d5-8140-23e7960b7dc2	773	49.16	8.13	60
d4082fc4-4f44-4618-b9e4-8565de0071a5	1126	49.11	5.53	59
39a90949-3933-4152-9b83-2a859303893b	549	48.27	12.85	60
b69975ee-f8c4-43b9-9a82-9cb51203a15a	768	48.44	10.80	60
50b1693b-487b-422c-a913-87ba225bfdbd	1136	49.03	13.74	29
55f900c2-2ea6-428d-8441-cc01035ed197	236	45.76	2.22	59
e0016dde-5047-44d4-a179-012764147f6f	643	43.70	9.44	60
ddae1377-1ed5-4a37-99ea-e19820ca6820	837	44.80	14.13	60
2641d0f3-1638-4136-a874-7578fd3cae3e	1045	46.89	6.68	60
da37de21-69f0-48e5-a5b3-a59cdb3de04b	362	46.13	9.10	60
4652a176-7139-4ac0-9958-6204015589fe	881	49.15	12.90	60
d93d017e-c9d1-4998-bd05-7bfe54a32f41	287	47.04	13.11	60
3fd589a5-68b2-4c11-be19-015340cb3625	1109	49.23	6.37	60
94cfcacf-e66d-4f6b-bbf3-43b0c75b37a0	259	45.95	6.48	60
d81acff7-9276-4e44-802f-2de1e24d7cf9	236	46.19	6.14	60
0ac29a1c-0aa5-4ca6-aa84-e8e7858e0852	260	46.54	8.20	60
ab823a58-841e-4aa2-9f9f-7b0dfb1b779e	733	38.34	13.05	60
a4c9296d-f6d0-4e18-a829-f6c7186008dc	648	47.38	10.32	60
1e7d4fce-77b6-4301-ac36-436dca2b7429	293	46.42	9.74	59
8cf5ab5d-493a-4c91-ab1e-9e07ae920397	1061	51.74	10.12	60
6bdefe20-7512-4f6e-ade6-4cc7a520524e	361	45.43	8.83	60
7a8f9650-bbbb-4076-be88-e0a66d9b31e9	235	46.38	6.28	26
da4b2fbc-0bb9-479b-ae8e-df48cab49812	251	45.82	10.06	26
1f600ef9-64f6-4304-b78f-65d882c6b7fc	231	45.45	13.52	4
e7c323ab-af0c-4253-a278-85786b92d177	239	46.44	16.18	48
9d5a99e1-0350-4199-9222-08c90a2e7cf2	238	45.80	4.96	26
13d53ef4-035f-4cbd-a624-67c9a396f4f8	238	46.22	11.76	50
63040b48-8199-4efe-915b-f60c8d7e6821	246	45.93	1.85	50
6e3c927f-968c-43b5-ab38-986217a85aca	757	49.41	7.09	5
c3b56821-b5c8-42ef-9223-98ef8215941c	1069	55.29	11.18	25
8f9c4b93-b5c2-4db1-9bbd-ebd1a85a51cf	362	45.58	11.21	50
27cad744-454b-4aa4-a7b3-206b0f14b596	565	44.42	12.16	26
44b7ac72-6062-4f38-aef4-72f1796fa4c9	518	47.10	5.76	26
9c5cb02f-b95d-4575-84db-42dda4070a80	165	43.64	10.33	50
1c61b56c-c809-47e4-b588-70a2a28aa919	169	45.56	21.42	4
d24472e7-1c09-480b-b8c0-19d440ce0a53	513	49.71	10.00	0
0b5b1f93-a979-4015-891b-a63664cd5bc7	515	52.82	8.20	0
8b19600e-ad64-4b5e-9859-f0820699c73d	276	53.99	10.42	0
1aa0403c-4220-4e9b-906b-d26407f722ca	675	52.00	18.55	0
2257dea4-a2f0-433b-81ed-7a6cdd705601	302	49.67	10.58	0
0d30126e-70a8-4d14-a449-5234dc2d33dd	228	57.02	3.96	0
dc7f0f92-78d2-4fc1-8901-27e0283f2a80	960	51.67	8.33	0
7601cc1b-8336-45fb-8f92-f28503af5db7	527	54.27	5.83	0
c9f8b23d-d637-490d-b726-50ef6b6c0627	347	47.26	5.98	0
ef34e034-c079-45aa-a5a5-a6dd568f2ac0	379	50.13	7.35	0
04a19a8c-5461-47a7-930e-83ee4bf0f630	264	51.14	4.10	0
8e15f144-420a-4cd0-b232-798ec9f33a6e	429	58.51	6.85	0
364c6920-a908-4c89-b8ee-5f0bb99cc106	452	45.35	7.69	0
caa0776b-79ec-4cb4-a698-84f3acc82051	779	47.11	6.25	0
