read_length,mapped,occurence
109,1,1
150,0,23
151,0,14
151,1,1
152,0,16
153,0,15
154,0,22
155,0,18
156,0,20
157,0,22
158,0,26
159,0,33
160,0,57
161,0,142
162,0,26
163,0,22
164,0,24
165,0,16
166,0,17
167,0,23
168,0,27
169,0,14
170,0,13
171,0,12
172,0,16
173,0,8
174,0,13
175,0,9
176,0,9
177,0,10
178,0,5
179,0,10
180,0,17
181,0,10
182,0,6
183,0,15
184,0,10
185,0,18
186,0,19
187,0,20
188,0,8
189,0,14
190,0,14
191,0,14
192,0,14
193,0,5
194,0,7
195,0,2
196,0,5
197,0,9
198,0,7
199,0,19
200,0,11
201,0,8
202,0,10
203,0,6
204,0,8
205,0,8
206,0,7
206,1,1
207,0,9
208,0,11
209,0,9
210,0,9
211,0,7
212,0,10
213,0,13
214,0,11
215,0,12
216,0,6
217,0,9
218,0,9
219,0,11
219,1,1
220,0,8
221,0,7
222,0,8
223,0,15
224,0,9
225,0,7
226,0,6
226,1,2
227,0,11
228,0,10
229,0,7
230,0,7
231,0,9
232,0,11
233,0,8
234,0,8
235,0,2
235,1,1
236,0,8
237,0,12
237,1,1
238,0,8
239,0,12
240,0,10
241,0,8
242,0,5
243,0,4
243,1,1
244,0,5
245,0,5
246,0,10
247,0,5
247,1,1
248,0,11
249,0,6
250,0,9
251,0,6
252,0,7
252,1,1
253,0,8
254,0,8
255,0,9
256,0,6
256,1,1
257,0,8
258,0,7
259,0,9
260,0,3
261,0,9
262,0,9
263,0,7
264,0,7
265,0,12
265,1,1
266,0,11
267,0,8
268,0,7
269,0,5
270,0,8
271,0,7
271,1,1
272,0,12
272,1,1
273,0,7
273,1,1
274,0,8
275,0,10
276,0,6
276,1,2
277,0,9
277,1,5
278,0,9
279,0,12
279,1,1
280,0,8
281,0,12
282,0,12
283,0,5
283,1,1
284,0,6
284,1,1
285,0,7
286,0,5
287,0,5
288,0,12
289,0,7
290,0,11
290,1,1
291,0,6
292,0,8
293,0,8
293,1,1
294,0,10
295,0,2
296,0,3
297,0,7
298,0,4
299,0,9
300,0,11
301,0,9
302,0,13
303,0,10
304,0,9
305,0,31
306,0,14
307,0,16
308,0,10
309,0,8
310,0,5
310,1,1
311,0,6
311,1,1
312,0,11
313,0,7
314,0,3
315,0,7
316,0,7
317,0,12
318,0,7
319,0,10
320,0,7
321,0,6
322,0,9
323,0,9
324,0,9
325,0,6
325,1,1
326,0,8
327,0,10
328,0,13
329,0,3
329,1,1
330,0,6
331,0,9
332,0,6
333,0,3
334,0,6
335,0,4
336,0,8
337,0,8
338,0,7
339,0,3
340,0,2
341,0,4
342,0,8
343,0,7
344,0,8
345,0,10
346,0,11
347,0,6
348,0,3
349,0,6
350,0,5
351,0,5
352,0,3
353,0,6
354,0,2
355,0,5
356,0,6
357,0,3
358,0,8
359,0,5
360,0,11
361,0,2
362,0,10
363,0,4
364,0,4
365,0,3
366,0,9
367,0,3
368,0,4
369,0,5
369,1,1
370,0,5
371,0,5
372,0,2
373,0,6
374,0,1
375,0,2
376,0,7
376,1,1
377,0,4
378,0,6
379,0,1
380,0,7
381,0,6
382,0,6
382,1,1
383,0,3
384,0,5
385,0,6
385,1,2
386,0,6
387,0,6
387,1,1
388,0,5
389,0,6
390,0,9
391,0,8
392,0,3
393,0,4
394,0,9
395,0,5
396,0,2
397,0,4
397,1,1
398,0,5
399,0,6
400,0,2
401,0,4
402,0,4
403,0,4
404,0,3
405,0,7
406,0,4
407,0,5
408,0,5
409,0,3
409,1,1
410,0,3
411,0,5
412,0,3
413,0,7
414,0,4
415,0,5
416,0,5
417,0,5
418,0,11
419,0,1
420,0,3
421,0,8
422,0,8
423,0,8
424,0,9
425,0,4
426,0,6
427,0,7
428,0,2
429,0,1
430,0,5
431,0,5
432,0,4
433,0,3
434,0,2
435,0,3
435,1,1
436,0,5
437,0,4
437,1,1
438,0,3
439,0,2
440,0,2
441,0,4
442,0,3
443,0,6
444,0,3
445,0,5
446,0,7
447,0,8
448,0,3
449,0,4
450,0,9
451,0,7
451,1,1
452,0,1
453,0,7
454,0,6
455,0,10
456,0,3
457,0,7
458,0,7
458,1,1
459,0,13
460,0,8
461,0,11
461,1,1
462,0,22
463,0,14
464,0,28
465,0,44
466,0,15
467,0,11
467,1,1
468,0,6
469,0,3
470,0,5
471,0,1
472,0,8
473,0,2
474,0,6
475,0,6
476,0,3
477,0,4
477,1,1
478,0,4
479,0,9
480,0,4
481,0,6
482,0,3
483,0,4
483,1,1
484,0,4
485,0,3
486,0,2
487,0,4
488,0,4
488,1,1
489,0,1
490,0,3
491,0,3
492,0,4
493,0,4
494,0,6
495,0,8
496,0,4
496,1,1
497,0,6
498,0,6
499,0,2
500,0,6
501,0,6
502,0,4
503,0,6
504,0,11
505,0,3
506,0,5
507,0,7
508,0,4
509,0,7
510,0,1
511,0,2
512,0,4
513,0,6
513,1,1
514,0,4
515,0,1
516,0,1
517,0,3
518,0,2
519,0,1
520,0,4
521,0,5
522,0,5
523,0,2
524,0,4
525,0,2
526,0,4
527,0,3
528,0,3
529,0,1
530,0,7
531,0,3
532,0,4
533,0,7
534,0,5
535,0,4
536,0,2
537,0,3
538,0,1
538,1,1
539,0,3
540,0,2
541,0,6
542,0,4
543,0,9
544,0,12
545,0,11
546,0,7
547,0,7
548,0,4
549,0,4
550,0,4
551,0,1
552,0,3
553,0,3
554,0,3
555,0,1
556,0,3
557,0,2
558,0,3
559,0,4
560,0,2
561,0,4
563,0,2
564,0,2
565,0,1
565,1,1
566,0,3
567,0,2
568,0,2
569,0,7
570,0,3
571,0,3
572,0,4
573,0,4
574,0,3
575,0,1
577,0,3
578,0,3
579,0,4
580,0,2
581,0,8
582,0,2
583,0,6
584,0,5
585,0,5
586,0,3
587,0,4
588,0,4
589,0,2
590,0,3
591,0,4
592,0,9
593,0,8
594,0,17
595,0,8
596,0,9
596,1,2
597,0,7
598,0,8
599,0,11
600,0,13
601,0,7
601,1,1
602,0,8
603,0,10
603,1,1
604,0,5
605,0,7
606,0,5
607,0,4
608,0,5
609,0,1
611,0,2
612,0,5
613,0,8
614,0,5
615,0,7
616,0,5
617,0,6
618,0,6
619,0,4
620,0,5
621,0,3
622,0,2
623,0,5
624,0,3
625,0,2
626,0,4
627,0,7
628,0,2
629,0,4
630,0,4
631,0,2
632,0,2
633,0,1
634,0,4
635,0,7
636,0,2
638,0,2
639,0,2
640,0,8
641,0,4
642,0,2
643,0,6
644,0,1
645,0,2
646,0,5
647,0,2
648,0,3
649,0,5
650,0,3
651,0,3
652,0,5
653,0,2
654,0,3
655,0,2
657,0,2
658,0,5
659,0,4
660,0,3
661,0,2
662,0,3
663,0,5
664,0,3
665,0,2
667,0,3
668,0,2
669,0,4
670,0,3
671,0,3
672,0,1
673,0,3
673,1,1
674,0,5
675,0,6
676,0,4
677,0,2
678,0,6
679,0,4
680,0,5
682,0,5
683,0,5
684,0,5
685,0,3
686,0,1
687,0,2
687,1,1
688,0,3
689,0,1
690,0,2
691,0,4
692,0,2
693,0,1
694,0,4
695,0,2
696,0,1
697,0,1
698,0,4
699,0,5
700,0,6
701,0,3
702,0,3
703,0,2
704,0,3
705,0,8
706,0,7
707,0,1
708,0,7
709,0,1
710,0,7
711,0,8
712,0,5
713,0,6
714,0,11
715,0,7
716,0,6
717,0,7
718,0,5
719,0,6
720,0,2
721,0,1
722,0,5
723,0,4
724,0,1
724,1,1
725,0,3
726,0,2
727,0,5
728,0,4
730,0,3
730,1,1
731,0,1
732,0,1
734,0,3
735,0,2
735,1,1
736,0,4
737,0,3
738,0,3
740,0,1
741,0,6
742,0,4
744,0,7
745,0,2
746,0,4
747,0,2
748,0,2
749,0,4
750,0,1
751,0,1
752,0,1
753,0,4
754,0,1
755,0,5
757,0,3
758,0,5
759,0,5
760,0,2
761,0,4
761,1,1
762,0,5
762,1,1
763,0,4
764,0,2
765,0,8
766,0,10
767,0,1
768,0,3
768,1,1
769,0,4
770,0,3
772,0,2
773,0,4
774,0,1
776,0,1
777,0,4
777,1,1
778,0,3
779,0,2
780,0,6
781,0,1
782,0,1
783,0,4
784,0,2
785,0,5
787,0,2
788,0,3
789,0,2
790,0,3
791,0,4
792,0,6
792,1,1
793,0,1
794,0,2
795,0,1
796,0,1
798,0,3
799,0,3
800,0,6
800,1,3
801,0,2
802,0,6
803,0,3
804,0,3
805,0,2
806,0,1
808,0,2
809,0,3
810,0,4
811,0,1
812,0,3
813,0,3
814,0,4
815,0,9
816,0,1
817,0,1
818,0,2
819,0,3
820,0,1
821,0,3
822,0,4
823,0,3
824,0,1
825,0,1
826,0,1
827,0,3
828,0,3
829,0,1
830,0,2
831,0,2
833,0,1
834,0,1
835,0,2
836,0,1
837,0,2
839,0,2
839,1,1
840,0,2
841,0,4
842,0,5
843,0,1
844,0,1
844,1,1
845,0,2
845,1,1
846,0,2
848,0,1
849,0,3
850,0,4
851,0,2
852,0,2
853,0,2
854,0,1
856,0,3
857,0,3
858,0,1
859,0,4
860,0,4
862,0,2
863,0,3
864,0,2
865,0,2
866,0,3
867,0,4
868,0,2
869,0,2
870,0,2
