read_length,occurence
150,81
151,43
152,24
153,18
154,14
155,9
156,6
158,8
159,4
160,5
161,5
162,5
163,2
164,3
165,2
166,5
167,1
168,5
169,8
170,9
171,8
172,8
173,17
174,9
175,9
176,10
177,6
178,9
179,14
180,10
181,14
182,20
183,23
184,24
185,40
186,41
187,23
188,30
189,8
190,8
191,2
192,2
193,4
195,2
196,3
198,1
199,1
200,2
201,6
202,6
203,1
204,3
205,5
206,2
207,5
208,5
210,7
211,5
212,10
213,6
214,7
215,3
216,6
217,6
218,5
219,8
220,9
221,10
222,4
223,15
224,12
225,22
226,54
227,19
228,14
229,13
230,17
231,20
232,32
233,113
234,33
235,21
236,45
237,15
238,4
239,12
240,5
241,12
242,3
243,1
244,6
245,7
246,7
247,7
248,8
249,7
250,4
251,10
252,8
253,8
254,9
255,13
256,11
257,16
258,16
259,27
260,58
261,19
262,23
263,42
264,17
265,18
266,10
267,12
268,9
269,13
270,8
271,11
272,21
273,31
274,62
275,43
276,55
277,176
278,37
279,18
280,15
281,10
282,8
283,13
284,7
285,8
286,27
287,46
288,27
289,28
290,30
291,19
292,16
293,10
294,12
295,5
296,4
297,5
298,3
299,2
300,6
301,5
302,4
303,3
304,4
305,5
306,3
307,5
308,5
309,4
310,6
311,13
312,18
313,15
314,19
315,11
316,20
317,22
318,12
319,13
320,5
321,8
322,3
323,4
324,3
325,8
326,3
327,3
328,4
329,6
330,3
331,4
332,5
333,4
334,8
335,4
336,9
337,2
338,9
339,9
340,8
341,23
342,15
343,19
344,24
345,9
346,13
347,9
348,5
349,3
350,5
351,11
352,5
353,5
354,5
355,3
356,2
357,4
358,1
359,4
360,5
361,3
362,2
363,6
364,3
365,7
366,2
367,10
368,17
369,11
370,12
371,7
372,15
373,5
374,9
375,5
376,6
377,1
378,4
379,4
380,1
381,2
382,1
383,1
384,8
385,3
386,3
387,6
388,2
389,4
390,3
391,2
392,6
393,2
394,7
395,8
396,4
397,14
398,12
399,11
400,7
401,2
402,4
403,6
404,4
405,3
406,1
407,2
408,4
409,3
410,2
411,3
412,4
413,1
414,2
415,1
416,5
417,5
418,5
419,4
420,5
421,8
422,10
423,2
424,11
425,6
426,8
427,6
428,4
429,2
431,2
432,7
433,3
434,1
435,3
436,1
437,1
438,2
439,4
440,2
441,3
442,3
443,2
444,3
445,1
446,10
447,6
448,5
449,4
450,7
451,9
452,6
453,5
454,3
455,7
456,5
457,3
458,1
459,3
460,2
461,2
462,4
464,3
465,2
466,3
467,1
468,2
469,4
470,1
471,4
472,1
473,4
474,3
475,8
476,5
477,2
478,9
479,6
480,6
481,7
482,4
483,2
484,2
485,6
487,2
488,5
489,1
490,2
491,1
492,3
493,1
494,2
495,2
496,1
497,3
498,2
499,1
500,5
501,1
502,2
503,3
504,2
505,2
506,5
507,9
508,8
509,4
510,4
511,2
512,2
513,3
514,4
515,2
516,1
518,2
519,1
520,1
522,3
523,1
524,2
525,2
527,3
528,5
529,3
530,5
531,2
532,2
533,3
534,5
535,1
536,4
537,2
538,5
540,2
541,1
542,2
543,1
545,1
546,2
548,1
549,4
550,4
552,1
554,1
555,2
556,3
558,4
559,4
560,4
561,4
562,4
563,6
564,5
565,5
566,2
567,1
568,4
569,6
570,3
571,1
572,1
573,4
575,3
576,2
577,2
578,3
579,2
580,1
581,2
582,1
584,3
585,4
586,1
587,2
588,1
589,9
590,1
591,6
592,1
594,3
595,5
596,2
597,1
598,1
599,4
600,1
601,2
602,2
603,1
604,1
605,3
606,1
608,2
609,1
610,2
611,2
612,3
614,3
616,2
617,4
619,1
620,1
621,2
625,1
627,2
628,1
629,1
630,1
632,1
633,2
634,3
635,1
636,2
639,4
640,1
641,5
642,1
643,2
644,1
645,3
646,2
647,1
648,1
649,2
651,3
652,2
654,3
655,1
656,3
658,2
660,1
661,1
663,3
665,4
666,1
667,3
668,5
669,3
672,2
673,2
674,3
675,1
676,1
677,1
678,2
680,2
681,1
682,1
683,1
684,1
686,1
688,2
689,2
690,1
691,2
692,1
693,2
695,1
696,3
697,2
698,3
700,2
702,3
703,1
704,2
705,1
707,1
709,2
711,3
712,1
713,1
714,3
719,1
720,1
722,2
723,2
724,1
726,2
727,2
729,3
730,1
735,1
738,1
740,2
742,2
743,1
744,1
745,2
746,1
747,1
748,1
749,2
750,1
751,2
752,3
755,1
756,1
757,1
758,1
759,2
761,1
762,1
767,2
768,1
771,3
773,1
774,1
775,1
779,1
780,1
781,1
783,2
787,1
792,3
794,1
795,1
796,1
798,2
806,2
810,1
811,1
817,1
820,1
821,1
823,1
824,1
827,2
830,2
831,1
833,2
835,1
837,1
838,1
840,1
842,1
848,1
851,1
853,1
856,1
859,1
865,1
868,1
878,2
879,1
880,1
886,2
890,1
895,1
896,1
906,1
912,1
918,1
932,1
935,1
937,1
941,1
947,1
963,1
964,1
967,1
968,2
972,1
989,1
995,1
996,1
1008,1
1012,1
1013,1
1016,1
1017,1
1025,1
1026,1
1031,1
1033,1
1041,1
1044,1
1045,1
1048,2
1050,1
1058,1
1072,1
1073,1
1074,1
1079,1
1083,1
1088,1
1089,1
1095,1
1103,1
1110,1
1114,1
1115,1
1119,1
1130,1
1134,1
1138,1
1143,1
1167,2
1175,1
1189,1

